Season,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD
2010-11,00,22010,1610612758,Sacramento,Kings,West,15-37,14,-o,Pacific,7-9,5,24,58,0.293,0,24-58,11-30,13-28
2010-11,00,22010,1610612761,Toronto,Raptors,East,14-38,14,-o,Atlantic,5-11,5,22,60,0.268,0,22-60,16-25,6-35
2010-11,00,22010,1610612739,Cleveland,Cavaliers,East,15-37,15,-o,Central,3-13,5,19,63,0.232,0,19-63,12-29,7-34
2010-11,00,22010,1610612750,Minnesota,Timberwolves,West,7-45,15,-o,Northwest,1-15,5,17,65,0.207,0,17-65,12-29,5-36
2011-12,00,22011,1610612741,Chicago,Bulls,East,38-10,1,-e,Central,13-1,1,50,16,0.758,0,50-16,26-7,24-9
2011-12,00,22011,1610612759,SanAntonio,Spurs,West,35-13,1,-w,Southwest,12-4,1,50,16,0.758,0,50-16,28-5,22-11
2011-12,00,22011,1610612760,OklahomaCity,Thunder,West,34-14,2,-nw,Northwest,10-3,1,47,19,0.712,0,47-19,26-7,21-12
2011-12,00,22011,1610612748,Miami,Heat,East,35-13,2,-se,Southeast,9-5,1,46,20,0.697,0,46-20,28-5,18-15
2011-12,00,22011,1610612754,Indiana,Pacers,East,29-19,3,-x,Central,9-4,2,42,24,0.636,0,42-24,23-10,19-14
2011-12,00,22011,1610612747,LosAngeles,Lakers,West,32-16,3,-p,Pacific,9-5,1,41,25,0.621,0,41-25,26-7,15-18
2011-12,00,22011,1610612763,Memphis,Grizzlies,West,26-22,4,-x,Southwest,7-8,2,41,25,0.621,0,41-25,26-7,15-18
2011-12,00,22011,1610612738,Boston,Celtics,East,32-16,4,-a,Atlantic,8-6,1,39,27,0.591,0,39-27,24-9,15-18
2011-12,00,22011,1610612737,Atlanta,Hawks,East,31-17,5,-x,Southeast,11-3,2,40,26,0.606,0,40-26,23-10,17-16
2011-12,00,22011,1610612746,LosAngeles,Clippers,West,29-19,5,-x,Pacific,7-7,2,40,26,0.606,0,40-26,24-9,16-17
2011-12,00,22011,1610612743,Denver,Nuggets,West,22-26,6,-x,Northwest,6-7,2,38,28,0.576,0,38-28,20-13,18-15
2011-12,00,22011,1610612753,Orlando,Magic,East,30-18,6,-x,Southeast,8-7,3,37,29,0.561,0,37-29,21-12,16-17
2011-12,00,22011,1610612742,Dallas,Mavericks,West,26-22,7,-x,Southwest,8-5,3,36,30,0.545,0,36-30,23-10,13-20
2011-12,00,22011,1610612752,NewYork,Knicks,East,28-20,7,-x,Atlantic,8-6,2,36,30,0.545,0,36-30,22-11,14-19
2011-12,00,22011,1610612762,Utah,Jazz,West,25-23,8,-x,Northwest,9-4,3,36,30,0.545,0,36-30,25-8,11-22
2011-12,00,22011,1610612755,Philadelphia,76ers,East,28-20,8,-x,Atlantic,7-6,3,35,31,0.53,0,35-31,19-14,16-17
2011-12,00,22011,1610612749,Milwaukee,Bucks,East,24-24,9,-o,Central,7-8,3,31,35,0.47,0,31-35,17-16,14-19
2011-12,00,22011,1610612745,Houston,Rockets,West,23-25,9,-o,Southwest,6-8,4,34,32,0.515,0,34-32,22-11,12-21
2011-12,00,22011,1610612765,Detroit,Pistons,East,20-28,10,-o,Central,4-11,4,25,41,0.379,0,25-41,18-15,7-26
2011-12,00,22011,1610612756,Phoenix,Suns,West,23-25,10,-o,Pacific,9-5,3,33,33,0.5,0,33-33,19-14,14-19
2011-12,00,22011,1610612761,Toronto,Raptors,East,15-33,11,-o,Atlantic,7-8,4,23,43,0.348,0,23-43,13-20,10-23
2011-12,00,22011,1610612757,Portland,TrailBlazers,West,20-28,11,-o,Northwest,4-10,4,28,38,0.424,0,28-38,20-13,8-25
2011-12,00,22011,1610612751,NewJersey,Nets,East,16-32,12,-o,Atlantic,5-9,5,22,44,0.333,0,22-44,9-24,13-20
2011-12,00,22011,1610612750,Minnesota,Timberwolves,West,19-29,12,-o,Northwest,4-9,5,26,40,0.394,0,26-40,13-20,13-20
2011-12,00,22011,1610612739,Cleveland,Cavaliers,East,13-35,13,-o,Central,3-12,5,21,45,0.318,0,21-45,11-22,10-23
2011-12,00,22011,1610612744,GoldenState,Warriors,West,16-32,13,-o,Pacific,7-8,4,23,43,0.348,0,23-43,12-21,11-22
2011-12,00,22011,1610612764,Washington,Wizards,East,16-32,14,-o,Southeast,7-7,4,20,46,0.303,0,20-46,11-22,9-24
2011-12,00,22011,1610612758,Sacramento,Kings,West,16-32,14,-o,Pacific,3-10,5,22,44,0.333,0,22-44,16-17,6-27
2011-12,00,22011,1610612766,Charlotte,Bobcats,East,5-43,15,-o,Southeast,1-14,5,7,59,0.106,0,7-59,4-29,3-30
2011-12,00,22011,1610612740,NewOrleans,Hornets,West,14-34,15,-o,Southwest,3-11,5,21,45,0.318,0,21-45,11-22,10-23
2012-13,00,22012,1610612748,Miami,Heat,East,41-11,1,-e,Southeast,15-1,1,66,16,0.805,0,66-16,37-4,29-12
2012-13,00,22012,1610612760,OklahomaCity,Thunder,West,39-13,1,-w,Northwest,10-6,1,60,22,0.732,0,60-22,34-7,26-15
2012-13,00,22012,1610612752,NewYork,Knicks,East,37-15,2,-a,Atlantic,10-6,1,54,28,0.659,0,54-28,31-10,23-18
2012-13,00,22012,1610612759,SanAntonio,Spurs,West,33-19,2,-sw,Southwest,12-4,1,58,24,0.707,0,58-24,35-6,23-18
2012-13,00,22012,1610612743,Denver,Nuggets,West,38-14,3,-x,Northwest,11-5,2,57,25,0.695,0,57-25,38-3,19-22
2012-13,00,22012,1610612754,Indiana,Pacers,East,31-20,3,-c,Central,13-3,1,49,32,0.605,0,49-32,30-11,19-21
2012-13,00,22012,1610612751,Brooklyn,Nets,East,36-16,4,-x,Atlantic,11-5,2,49,33,0.598,0,49-33,26-15,23-18
2012-13,00,22012,1610612746,LosAngeles,Clippers,West,35-17,4,-p,Pacific,11-5,1,56,26,0.683,0,56-26,32-9,24-17
2012-13,00,22012,1610612763,Memphis,Grizzlies,West,34-18,5,-x,Southwest,10-6,2,56,26,0.683,0,56-26,32-9,24-17
2012-13,00,22012,1610612741,Chicago,Bulls,East,34-18,5,-x,Central,9-7,2,45,37,0.549,0,45-37,24-17,21-20
2012-13,00,22012,1610612744,GoldenState,Warriors,West,28-24,6,-x,Pacific,9-7,2,47,35,0.573,0,47-35,28-13,19-22
2012-13,00,22012,1610612737,Atlanta,Hawks,East,29-23,6,-x,Southeast,11-5,2,44,38,0.537,0,44-38,25-16,19-22
2012-13,00,22012,1610612738,Boston,Celtics,East,27-24,7,-x,Atlantic,7-9,3,41,40,0.506,0,41-40,27-13,14-27
2012-13,00,22012,1610612747,LosAngeles,Lakers,West,28-24,7,-x,Pacific,8-8,3,45,37,0.549,0,45-37,29-12,16-25
2012-13,00,22012,1610612745,Houston,Rockets,West,24-28,8,-x,Southwest,6-10,3,45,37,0.549,0,45-37,29-12,16-25
2012-13,00,22012,1610612749,Milwaukee,Bucks,East,24-28,8,-x,Central,7-9,3,38,44,0.463,0,38-44,21-20,17-24
2012-13,00,22012,1610612755,Philadelphia,76ers,East,22-30,9,-o,Atlantic,7-9,4,34,48,0.415,0,34-48,23-18,11-30
2012-13,00,22012,1610612762,Utah,Jazz,West,26-26,9,-o,Northwest,9-7,3,43,39,0.524,0,43-39,30-11,13-28
2012-13,00,22012,1610612761,Toronto,Raptors,East,22-30,10,-o,Atlantic,5-11,5,34,48,0.415,0,34-48,21-20,13-28
2012-13,00,22012,1610612742,Dallas,Mavericks,West,24-28,10,-o,Southwest,7-9,4,41,41,0.5,0,41-41,24-17,17-24
2012-13,00,22012,1610612757,Portland,TrailBlazers,West,18-34,11,-o,Northwest,6-10,4,33,49,0.402,0,33-49,22-19,11-30
2012-13,00,22012,1610612765,Detroit,Pistons,East,25-27,11,-o,Central,8-8,4,29,53,0.354,0,29-53,18-23,11-30
2012-13,00,22012,1610612750,Minnesota,Timberwolves,West,17-35,12,-o,Northwest,4-12,5,31,51,0.378,0,31-51,20-21,11-30
2012-13,00,22012,1610612764,Washington,Wizards,East,15-37,12,-o,Southeast,5-11,3,29,53,0.354,0,29-53,22-19,7-34
2012-13,00,22012,1610612739,Cleveland,Cavaliers,East,18-34,13,-o,Central,3-13,5,24,58,0.293,0,24-58,14-27,10-31
2012-13,00,22012,1610612758,Sacramento,Kings,West,14-38,13,-o,Pacific,7-9,4,28,54,0.341,0,28-54,20-21,8-33
2012-13,00,22012,1610612740,NewOrleans,Hornets,West,15-37,14,-o,Southwest,5-11,5,27,55,0.329,0,27-55,16-25,11-30
2012-13,00,22012,1610612766,Charlotte,Bobcats,East,18-34,14,-o,Southeast,6-10,4,21,61,0.256,0,21-61,15-26,6-35
2012-13,00,22012,1610612753,Orlando,Magic,East,10-42,15,-o,Southeast,3-13,5,20,62,0.244,0,20-62,12-29,8-33
2012-13,00,22012,1610612756,Phoenix,Suns,West,17-35,15,-o,Pacific,5-11,5,25,57,0.305,0,25-57,17-24,8-33
2013-14,00,22013,1610612754,Indiana,Pacers,East,38-14,1,-e,Central,12-4,1,56,26,0.683,0,56-26,35-6,21-20
2013-14,00,22013,1610612759,SanAntonio,Spurs,West,38-14,1,-w,Southwest,12-4,1,62,20,0.756,0,62-20,32-9,30-11
2013-14,00,22013,1610612760,OklahomaCity,Thunder,West,36-16,2,-nw,Northwest,11-5,1,59,23,0.72,0,59-23,34-7,25-16
2013-14,00,22013,1610612748,Miami,Heat,East,34-18,2,-se,Southeast,12-4,1,54,28,0.659,0,54-28,32-9,22-19
2013-14,00,22013,1610612746,LosAngeles,Clippers,West,36-16,3,-p,Pacific,12-4,1,57,25,0.695,0,57-25,34-7,23-18
2013-14,00,22013,1610612761,Toronto,Raptors,East,32-20,3,-a,Atlantic,11-5,1,48,34,0.585,0,48-34,26-15,22-19
2013-14,00,22013,1610612745,Houston,Rockets,West,31-21,4,-x,Southwest,11-5,2,54,28,0.659,0,54-28,33-8,21-20
2013-14,00,22013,1610612741,Chicago,Bulls,East,35-17,4,-x,Central,11-5,2,48,34,0.585,0,48-34,27-14,21-20
2013-14,00,22013,1610612757,Portland,TrailBlazers,West,31-21,5,-x,Northwest,13-3,2,54,28,0.659,0,54-28,31-10,23-18
2013-14,00,22013,1610612764,Washington,Wizards,East,33-19,5,-x,Southeast,10-6,2,44,38,0.537,0,44-38,22-19,22-19
2013-14,00,22013,1610612751,Brooklyn,Nets,East,26-26,6,-x,Atlantic,9-7,2,44,38,0.537,0,44-38,28-13,16-25
2013-14,00,22013,1610612744,GoldenState,Warriors,West,31-21,6,-x,Pacific,11-5,2,51,31,0.622,0,51-31,27-14,24-17
2013-14,00,22013,1610612763,Memphis,Grizzlies,West,29-23,7,-x,Southwest,4-12,3,50,32,0.61,0,50-32,27-14,23-18
2013-14,00,22013,1610612766,Charlotte,Bobcats,East,30-22,7,-x,Southeast,6-10,3,43,39,0.524,0,43-39,25-16,18-23
2013-14,00,22013,1610612742,Dallas,Mavericks,West,29-23,8,-x,Southwest,9-7,4,49,33,0.598,0,49-33,26-15,23-18
2013-14,00,22013,1610612737,Atlanta,Hawks,East,28-24,8,-x,Southeast,8-8,4,38,44,0.463,0,38-44,24-17,14-27
2013-14,00,22013,1610612752,NewYork,Knicks,East,26-26,9,-o,Atlantic,10-6,3,37,45,0.451,0,37-45,19-22,18-23
2013-14,00,22013,1610612756,Phoenix,Suns,West,28-24,9,-o,Pacific,8-8,3,48,34,0.585,0,48-34,26-15,22-19
2013-14,00,22013,1610612750,Minnesota,Timberwolves,West,23-29,10,-o,Northwest,7-9,3,40,42,0.488,0,40-42,24-17,16-25
2013-14,00,22013,1610612739,Cleveland,Cavaliers,East,21-31,10,-o,Central,7-9,3,33,49,0.402,0,33-49,19-22,14-27
2013-14,00,22013,1610612743,Denver,Nuggets,West,20-32,11,-o,Northwest,5-11,4,36,46,0.439,0,36-46,22-19,14-27
2013-14,00,22013,1610612765,Detroit,Pistons,East,23-29,11,-o,Central,6-10,4,29,53,0.354,0,29-53,17-24,12-29
2013-14,00,22013,1610612740,NewOrleans,Pelicans,West,15-37,12,-o,Southwest,4-12,5,34,48,0.415,0,34-48,22-19,12-29
2013-14,00,22013,1610612738,Boston,Celtics,East,21-31,12,-o,Atlantic,5-11,4,25,57,0.305,0,25-57,16-25,9-32
2013-14,00,22013,1610612753,Orlando,Magic,East,17-35,13,-o,Southeast,4-12,5,23,59,0.28,0,23-59,19-22,4-37
2013-14,00,22013,1610612758,Sacramento,Kings,West,15-37,13,-o,Pacific,3-13,4,28,54,0.341,0,28-54,17-24,11-30
2013-14,00,22013,1610612747,LosAngeles,Lakers,West,15-37,14,-o,Pacific,6-10,5,27,55,0.329,0,27-55,14-27,13-28
2013-14,00,22013,1610612755,Philadelphia,76ers,East,14-38,14,-o,Atlantic,5-11,5,19,63,0.232,0,19-63,10-31,9-32
2013-14,00,22013,1610612749,Milwaukee,Bucks,East,12-40,15,-o,Central,4-12,5,15,67,0.183,0,15-67,10-31,5-36
2013-14,00,22013,1610612762,Utah,Jazz,West,13-39,15,-o,Northwest,4-12,5,25,57,0.305,0,25-57,16-25,9-32
2014-15,00,22014,1610612737,Atlanta,Hawks,East,38-14,1,-e,Southeast,12-4,1,60,22,0.732,0,60-22,35-6,25-16
2014-15,00,22014,1610612744,GoldenState,Warriors,West,42-10,1,-w,Pacific,13-3,1,67,15,0.817,0,67-15,39-2,28-13
2014-15,00,22014,1610612739,Cleveland,Cavaliers,East,35-17,2,-c,Central,11-5,1,53,29,0.646,0,53-29,31-10,22-19
2014-15,00,22014,1610612745,Houston,Rockets,West,33-19,2,-sw,Southwest,8-8,1,56,26,0.683,0,56-26,30-11,26-15
2014-15,00,22014,1610612741,Chicago,Bulls,East,33-19,3,-x,Central,8-8,2,50,32,0.61,0,50-32,27-14,23-18
2014-15,00,22014,1610612746,LosAngeles,Clippers,West,37-15,3,-x,Pacific,12-4,2,56,26,0.683,0,56-26,30-11,26-15
2014-15,00,22014,1610612761,Toronto,Raptors,East,33-19,4,-a,Atlantic,11-5,1,49,33,0.598,0,49-33,27-14,22-19
2014-15,00,22014,1610612757,Portland,TrailBlazers,West,31-21,4,-nw,Northwest,11-5,1,51,31,0.622,0,51-31,32-9,19-22
2014-15,00,22014,1610612764,Washington,Wizards,East,30-22,5,-x,Southeast,10-6,2,46,36,0.561,0,46-36,29-12,17-24
2014-15,00,22014,1610612763,Memphis,Grizzlies,West,35-17,5,-x,Southwest,9-7,2,55,27,0.671,0,55-27,31-10,24-17
2014-15,00,22014,1610612749,Milwaukee,Bucks,East,30-22,6,-x,Central,7-9,3,41,41,0.5,0,41-41,23-18,18-23
2014-15,00,22014,1610612759,SanAntonio,Spurs,West,32-20,6,-x,Southwest,8-8,3,55,27,0.671,0,55-27,33-8,22-19
2014-15,00,22014,1610612742,Dallas,Mavericks,West,29-23,7,-x,Southwest,7-9,4,50,32,0.61,0,50-32,27-14,23-18
2014-15,00,22014,1610612738,Boston,Celtics,East,28-24,7,-x,Atlantic,12-4,2,40,42,0.488,0,40-42,21-20,19-22
2014-15,00,22014,1610612740,NewOrleans,Pelicans,West,29-23,8,-x,Southwest,8-8,5,45,37,0.549,0,45-37,28-13,17-24
2014-15,00,22014,1610612751,Brooklyn,Nets,East,24-28,8,-x,Atlantic,10-6,3,38,44,0.463,0,38-44,19-22,19-22
2014-15,00,22014,1610612754,Indiana,Pacers,East,28-24,9,-o,Central,8-8,4,38,44,0.463,0,38-44,23-18,15-26
2014-15,00,22014,1610612760,OklahomaCity,Thunder,West,25-27,9,-o,Northwest,10-6,2,45,37,0.549,0,45-37,29-12,16-25
2014-15,00,22014,1610612748,Miami,Heat,East,25-27,10,-o,Southeast,6-10,3,37,45,0.451,0,37-45,20-21,17-24
2014-15,00,22014,1610612756,Phoenix,Suns,West,21-31,10,-o,Pacific,6-10,3,39,43,0.476,0,39-43,22-19,17-24
2014-15,00,22014,1610612766,Charlotte,Hornets,East,25-27,11,-o,Southeast,8-8,4,33,49,0.402,0,33-49,19-22,14-27
2014-15,00,22014,1610612762,Utah,Jazz,West,23-29,11,-o,Northwest,9-7,3,38,44,0.463,0,38-44,21-20,17-24
2014-15,00,22014,1610612743,Denver,Nuggets,West,19-33,12,-o,Northwest,6-10,4,30,52,0.366,0,30-52,19-22,11-30
2014-15,00,22014,1610612765,Detroit,Pistons,East,23-29,12,-o,Central,6-10,5,32,50,0.39,0,32-50,18-23,14-27
2014-15,00,22014,1610612758,Sacramento,Kings,West,18-34,13,-o,Pacific,7-9,4,29,53,0.354,0,29-53,18-23,11-30
2014-15,00,22014,1610612753,Orlando,Magic,East,15-37,13,-o,Southeast,4-12,5,25,57,0.305,0,25-57,13-28,12-29
2014-15,00,22014,1610612755,Philadelphia,76ers,East,12-40,14,-o,Atlantic,2-14,4,18,64,0.22,0,18-64,12-29,6-35
2014-15,00,22014,1610612747,LosAngeles,Lakers,West,9-43,14,-o,Pacific,2-14,5,21,61,0.256,0,21-61,12-29,9-32
2014-15,00,22014,1610612752,NewYork,Knicks,East,11-41,15,-o,Atlantic,5-11,5,17,65,0.207,0,17-65,10-31,7-34
2014-15,00,22014,1610612750,Minnesota,Timberwolves,West,7-45,15,-o,Northwest,4-12,5,16,66,0.195,0,16-66,9-32,7-34
2015-16,00,22015,1610612744,GoldenState,Warriors,West,46-6,1,-w,Pacific,15-1,1,73,9,0.89,0,73-9,39-2,34-7
2015-16,00,22015,1610612739,Cleveland,Cavaliers,East,35-17,1,-e,Central,8-8,1,57,25,0.695,0,57-25,33-8,24-17
2015-16,00,22015,1610612761,Toronto,Raptors,East,39-13,2,-a,Atlantic,14-2,1,56,26,0.683,0,56-26,32-9,24-17
2015-16,00,22015,1610612759,SanAntonio,Spurs,West,43-9,2,-sw,Southwest,14-2,1,67,15,0.817,0,67-15,40-1,27-14
2015-16,00,22015,1610612760,OklahomaCity,Thunder,West,37-15,3,-nw,Northwest,13-3,1,55,27,0.671,0,55-27,32-9,23-18
2015-16,00,22015,1610612748,Miami,Heat,East,31-21,3,-se,Southeast,10-6,1,48,34,0.585,0,48-34,28-13,20-21
2015-16,00,22015,1610612737,Atlanta,Hawks,East,29-23,4,-x,Southeast,8-8,2,48,34,0.585,0,48-34,27-14,21-20
2015-16,00,22015,1610612746,LA,Clippers,West,31-21,4,-x,Pacific,9-7,2,53,29,0.646,0,53-29,29-12,24-17
2015-16,00,22015,1610612757,Portland,TrailBlazers,West,29-23,5,-x,Northwest,11-5,2,44,38,0.537,0,44-38,28-13,16-25
2015-16,00,22015,1610612738,Boston,Celtics,East,31-21,5,-x,Atlantic,10-6,2,48,34,0.585,0,48-34,28-13,20-21
2015-16,00,22015,1610612766,Charlotte,Hornets,East,33-19,6,-x,Southeast,8-8,3,48,34,0.585,0,48-34,30-11,18-23
2015-16,00,22015,1610612742,Dallas,Mavericks,West,27-25,6,-x,Southwest,7-9,2,42,40,0.512,0,42-40,23-18,19-22
2015-16,00,22015,1610612754,Indiana,Pacers,East,30-22,7,-x,Central,8-8,2,45,37,0.549,0,45-37,26-15,19-22
2015-16,00,22015,1610612763,Memphis,Grizzlies,West,25-27,7,-x,Southwest,7-9,3,42,40,0.512,0,42-40,26-15,16-25
2015-16,00,22015,1610612745,Houston,Rockets,West,28-24,8,-x,Southwest,8-8,4,41,41,0.5,0,41-41,23-18,18-23
2015-16,00,22015,1610612765,Detroit,Pistons,East,29-23,8,-x,Central,10-6,3,44,38,0.537,0,44-38,26-15,18-23
2015-16,00,22015,1610612762,Utah,Jazz,West,24-28,9,-o,Northwest,8-8,3,40,42,0.488,0,40-42,24-17,16-25
2015-16,00,22015,1610612741,Chicago,Bulls,East,25-27,9,-o,Central,10-6,4,42,40,0.512,0,42-40,26-15,16-25
2015-16,00,22015,1610612764,Washington,Wizards,East,30-22,10,-o,Southeast,10-6,4,41,41,0.5,0,41-41,22-19,19-22
2015-16,00,22015,1610612758,Sacramento,Kings,West,19-33,10,-o,Pacific,8-8,3,33,49,0.402,0,33-49,18-23,15-26
2015-16,00,22015,1610612753,Orlando,Magic,East,21-31,11,-o,Southeast,4-12,5,35,47,0.427,0,35-47,23-18,12-29
2015-16,00,22015,1610612743,Denver,Nuggets,West,18-34,11,-o,Northwest,4-12,4,33,49,0.402,0,33-49,18-23,15-26
2015-16,00,22015,1610612749,Milwaukee,Bucks,East,21-31,12,-o,Central,4-12,5,33,49,0.402,0,33-49,23-18,10-31
2015-16,00,22015,1610612740,NewOrleans,Pelicans,West,20-32,12,-o,Southwest,4-12,5,30,52,0.366,0,30-52,21-20,9-32
2015-16,00,22015,1610612752,NewYork,Knicks,East,21-31,13,-o,Atlantic,8-8,3,32,50,0.39,0,32-50,18-23,14-27
2015-16,00,22015,1610612750,Minnesota,Timberwolves,West,18-34,13,-o,Northwest,4-12,5,29,53,0.354,0,29-53,14-27,15-26
2015-16,00,22015,1610612756,Phoenix,Suns,West,17-35,14,-o,Pacific,6-10,4,23,59,0.28,0,23-59,14-27,9-32
2015-16,00,22015,1610612751,Brooklyn,Nets,East,12-40,14,-o,Atlantic,6-10,4,21,61,0.256,0,21-61,14-27,7-34
2015-16,00,22015,1610612755,Philadelphia,76ers,East,3-49,15,-o,Atlantic,2-14,5,10,72,0.122,0,10-72,7-34,3-38
2015-16,00,22015,1610612747,LosAngeles,Lakers,West,8-44,15,-o,Pacific,2-14,5,17,65,0.207,0,17-65,12-29,5-36
2016-17,00,22016,1610612738,Boston,Celtics,East,36-16,1,-e,Atlantic,11-5,1,53,29,0.646,0,53-29,30-11,23-18
2016-17,00,22016,1610612744,GoldenState,Warriors,West,42-10,1,-w,Pacific,14-2,1,67,15,0.817,0,67-15,36-5,31-10
2016-17,00,22016,1610612739,Cleveland,Cavaliers,East,35-17,2,-c,Central,8-8,1,51,31,0.622,0,51-31,31-10,20-21
2016-17,00,22016,1610612759,SanAntonio,Spurs,West,36-16,2,-sw,Southwest,11-5,1,61,21,0.744,0,61-21,31-10,30-11
2016-17,00,22016,1610612745,Houston,Rockets,West,36-16,3,-x,Southwest,10-6,2,55,27,0.671,0,55-27,30-11,25-16
2016-17,00,22016,1610612761,Toronto,Raptors,East,34-18,3,-x,Atlantic,14-2,2,51,31,0.622,0,51-31,28-13,23-18
2016-17,00,22016,1610612746,LA,Clippers,West,31-21,4,-x,Pacific,10-6,2,51,31,0.622,0,51-31,29-12,22-19
2016-17,00,22016,1610612764,Washington,Wizards,East,32-20,4,-se,Southeast,8-8,1,49,33,0.598,0,49-33,30-11,19-22
2016-17,00,22016,1610612737,Atlanta,Hawks,East,30-22,5,-x,Southeast,6-10,2,43,39,0.524,0,43-39,23-18,20-21
2016-17,00,22016,1610612762,Utah,Jazz,West,31-21,5,-nw,Northwest,8-8,1,51,31,0.622,0,51-31,29-12,22-19
2016-17,00,22016,1610612749,Milwaukee,Bucks,East,27-25,6,-x,Central,10-6,2,42,40,0.512,0,42-40,23-18,19-22
