Season,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD
2016-17,00,22016,1610612760,OklahomaCity,Thunder,West,29-23,6,-x,Northwest,10-6,2,47,35,0.573,0,47-35,28-13,19-22
2016-17,00,22016,1610612763,Memphis,Grizzlies,West,28-24,7,-x,Southwest,8-8,3,43,39,0.524,0,43-39,24-17,19-22
2016-17,00,22016,1610612754,Indiana,Pacers,East,26-26,7,-x,Central,8-8,3,42,40,0.512,0,42-40,29-12,13-28
2016-17,00,22016,1610612741,Chicago,Bulls,East,28-24,8,-x,Central,9-7,4,41,41,0.5,0,41-41,25-16,16-25
2016-17,00,22016,1610612757,Portland,TrailBlazers,West,28-24,8,-x,Northwest,11-5,3,41,41,0.5,0,41-41,25-16,16-25
2016-17,00,22016,1610612748,Miami,Heat,East,27-25,9,-o,Southeast,9-7,3,41,41,0.5,0,41-41,23-18,18-23
2016-17,00,22016,1610612743,Denver,Nuggets,West,24-28,9,-o,Northwest,6-10,4,40,42,0.488,0,40-42,22-19,18-23
2016-17,00,22016,1610612765,Detroit,Pistons,East,21-31,10,-o,Central,5-11,5,37,45,0.451,0,37-45,24-17,13-28
2016-17,00,22016,1610612740,NewOrleans,Pelicans,West,20-32,10,-o,Southwest,6-10,4,34,48,0.415,0,34-48,21-20,13-28
2016-17,00,22016,1610612742,Dallas,Mavericks,West,19-33,11,-o,Southwest,5-11,5,33,49,0.402,0,33-49,21-20,12-29
2016-17,00,22016,1610612766,Charlotte,Hornets,East,22-30,11,-o,Southeast,10-6,4,36,46,0.439,0,36-46,22-19,14-27
2016-17,00,22016,1610612758,Sacramento,Kings,West,21-31,12,-o,Pacific,7-9,3,32,50,0.39,0,32-50,17-24,15-26
2016-17,00,22016,1610612752,NewYork,Knicks,East,22-30,12,-o,Atlantic,5-11,3,31,51,0.378,0,31-51,19-22,12-29
2016-17,00,22016,1610612753,Orlando,Magic,East,20-32,13,-o,Southeast,7-9,5,29,53,0.354,0,29-53,16-25,13-28
2016-17,00,22016,1610612750,Minnesota,Timberwolves,West,18-34,13,-o,Northwest,5-11,5,31,51,0.378,0,31-51,20-21,11-30
2016-17,00,22016,1610612755,Philadelphia,76ers,East,19-33,14,-o,Atlantic,7-9,4,28,54,0.341,0,28-54,17-24,11-30
2016-17,00,22016,1610612747,LosAngeles,Lakers,West,16-36,14,-o,Pacific,6-10,4,26,56,0.317,0,26-56,17-24,9-32
2016-17,00,22016,1610612756,Phoenix,Suns,West,11-41,15,-o,Pacific,3-13,5,24,58,0.293,0,24-58,15-26,9-32
2016-17,00,22016,1610612751,Brooklyn,Nets,East,11-41,15,-o,Atlantic,3-13,5,20,62,0.244,0,20-62,13-28,7-34
2017-18,00,22017,1610612745,Houston,Rockets,West,41-11,1,-w,Southwest,12-4,1,65,17,0.793,0,65-17,34-7,31-10
2017-18,00,22017,1610612761,Toronto,Raptors,East,40-12,1,-e,Atlantic,12-4,1,59,23,0.72,0,59-23,34-7,25-16
2017-18,00,22017,1610612738,Boston,Celtics,East,33-19,2,-x,Atlantic,12-4,2,55,27,0.671,0,55-27,27-14,28-13
2017-18,00,22017,1610612744,GoldenState,Warriors,West,34-18,2,-p,Pacific,13-3,1,58,24,0.707,0,58-24,29-12,29-12
2017-18,00,22017,1610612757,Portland,TrailBlazers,West,31-21,3,-nw,Northwest,9-7,1,49,33,0.598,0,49-33,28-13,21-20
2017-18,00,22017,1610612755,Philadelphia,76ers,East,34-18,3,-x,Atlantic,9-7,3,52,30,0.634,0,52-30,30-11,22-19
2017-18,00,22017,1610612739,Cleveland,Cavaliers,East,35-17,4,-c,Central,11-5,1,50,32,0.61,0,50-32,29-12,21-20
2017-18,00,22017,1610612760,OklahomaCity,Thunder,West,28-24,4,-x,Northwest,5-11,2,48,34,0.585,0,48-34,27-14,21-20
2017-18,00,22017,1610612762,Utah,Jazz,West,34-18,5,-x,Northwest,7-9,3,48,34,0.585,0,48-34,28-13,20-21
2017-18,00,22017,1610612754,Indiana,Pacers,East,32-20,5,-x,Central,10-6,2,48,34,0.585,0,48-34,27-14,21-20
2017-18,00,22017,1610612740,NewOrleans,Pelicans,West,27-25,6,-x,Southwest,9-7,2,48,34,0.585,0,48-34,24-17,24-17
2017-18,00,22017,1610612748,Miami,Heat,East,31-21,6,-se,Southeast,11-5,1,44,38,0.537,0,44-38,26-15,18-23
2017-18,00,22017,1610612759,SanAntonio,Spurs,West,29-23,7,-x,Southwest,9-7,3,47,35,0.573,0,47-35,33-8,14-27
2017-18,00,22017,1610612749,Milwaukee,Bucks,East,27-25,7,-x,Central,6-10,3,44,38,0.537,0,44-38,25-16,19-22
2017-18,00,22017,1610612750,Minnesota,Timberwolves,West,34-18,8,-x,Northwest,10-6,4,47,35,0.573,0,47-35,30-11,17-24
2017-18,00,22017,1610612764,Washington,Wizards,East,28-24,8,-x,Southeast,8-8,2,43,39,0.524,0,43-39,23-18,20-21
2017-18,00,22017,1610612765,Detroit,Pistons,East,24-28,9,-o,Central,9-7,4,39,43,0.476,0,39-43,25-16,14-27
2017-18,00,22017,1610612743,Denver,Nuggets,West,28-24,9,-o,Northwest,9-7,5,46,36,0.561,0,46-36,31-10,15-26
2017-18,00,22017,1610612746,LA,Clippers,West,24-28,10,-o,Pacific,12-4,2,42,40,0.512,0,42-40,22-19,20-21
2017-18,00,22017,1610612766,Charlotte,Hornets,East,22-30,10,-o,Southeast,11-5,3,36,46,0.439,0,36-46,21-20,15-26
2017-18,00,22017,1610612747,LosAngeles,Lakers,West,19-33,11,-o,Pacific,6-10,3,35,47,0.427,0,35-47,20-21,15-26
2017-18,00,22017,1610612752,NewYork,Knicks,East,17-35,11,-o,Atlantic,6-10,4,29,53,0.354,0,29-53,19-22,10-31
2017-18,00,22017,1610612751,Brooklyn,Nets,East,19-33,12,-o,Atlantic,1-15,5,28,54,0.341,0,28-54,15-26,13-28
2017-18,00,22017,1610612758,Sacramento,Kings,West,14-38,12,-o,Pacific,5-11,4,27,55,0.329,0,27-55,14-27,13-28
2017-18,00,22017,1610612742,Dallas,Mavericks,West,14-38,13,-o,Southwest,5-11,4,24,58,0.293,0,24-58,15-26,9-32
2017-18,00,22017,1610612741,Chicago,Bulls,East,21-31,13,-o,Central,4-12,5,27,55,0.329,0,27-55,17-24,10-31
2017-18,00,22017,1610612763,Memphis,Grizzlies,West,18-34,14,-o,Southwest,5-11,5,22,60,0.268,0,22-60,16-25,6-35
2017-18,00,22017,1610612753,Orlando,Magic,East,15-37,14,-o,Southeast,5-11,4,25,57,0.305,0,25-57,17-24,8-33
2017-18,00,22017,1610612756,Phoenix,Suns,West,15-37,15,-o,Pacific,4-12,5,21,61,0.256,0,21-61,10-31,11-30
2017-18,00,22017,1610612737,Atlanta,Hawks,East,12-40,15,-o,Southeast,5-11,5,24,58,0.293,0,24-58,16-25,8-33
2018-19,00,22018,1610612744,GoldenState,Warriors,West,35-17,1,-w,Pacific,13-3,1,57,25,0.695,0,57-25,30-11,27-14
2018-19,00,22018,1610612749,Milwaukee,Bucks,East,40-12,1,-e,Central,14-2,1,60,22,0.732,0,60-22,33-8,27-14
2018-19,00,22018,1610612761,Toronto,Raptors,East,36-16,2,-a,Atlantic,12-4,1,58,24,0.707,0,58-24,32-9,26-15
2018-19,00,22018,1610612743,Denver,Nuggets,West,34-18,2,-nw,Northwest,12-4,1,54,28,0.659,0,54-28,34-7,20-21
2018-19,00,22018,1610612757,Portland,TrailBlazers,West,29-23,3,-x,Northwest,6-10,2,53,29,0.646,0,53-29,32-9,21-20
2018-19,00,22018,1610612755,Philadelphia,76ers,East,31-21,3,-x,Atlantic,8-8,2,51,31,0.622,0,51-31,31-10,20-21
2018-19,00,22018,1610612738,Boston,Celtics,East,35-17,4,-x,Atlantic,10-6,3,49,33,0.598,0,49-33,28-13,21-20
2018-19,00,22018,1610612745,Houston,Rockets,West,32-20,4,-sw,Southwest,10-6,1,53,29,0.646,0,53-29,31-10,22-19
2018-19,00,22018,1610612762,Utah,Jazz,West,30-22,5,-x,Northwest,8-8,3,50,32,0.61,0,50-32,29-12,21-20
2018-19,00,22018,1610612754,Indiana,Pacers,East,33-19,5,-x,Central,11-5,2,48,34,0.585,0,48-34,29-12,19-22
2018-19,00,22018,1610612751,Brooklyn,Nets,East,29-23,6,-x,Atlantic,8-8,4,42,40,0.512,0,42-40,23-18,19-22
2018-19,00,22018,1610612760,OklahomaCity,Thunder,West,28-24,6,-x,Northwest,9-7,4,49,33,0.598,0,49-33,27-14,22-19
2018-19,00,22018,1610612759,SanAntonio,Spurs,West,30-22,7,-x,Southwest,10-6,2,48,34,0.585,0,48-34,32-9,16-25
2018-19,00,22018,1610612753,Orlando,Magic,East,30-22,7,-se,Southeast,10-6,1,42,40,0.512,0,42-40,25-16,17-24
2018-19,00,22018,1610612746,LA,Clippers,West,28-24,8,-x,Pacific,11-5,2,48,34,0.585,0,48-34,26-15,22-19
2018-19,00,22018,1610612765,Detroit,Pistons,East,27-25,8,-x,Central,8-8,3,41,41,0.5,0,41-41,26-15,15-26
2018-19,00,22018,1610612758,Sacramento,Kings,West,21-31,9,-o,Pacific,4-12,3,39,43,0.476,0,39-43,24-17,15-26
2018-19,00,22018,1610612766,Charlotte,Hornets,East,29-23,9,-o,Southeast,10-6,2,39,43,0.476,0,39-43,25-16,14-27
2018-19,00,22018,1610612748,Miami,Heat,East,23-29,10,-o,Southeast,7-9,3,39,43,0.476,0,39-43,19-22,20-21
2018-19,00,22018,1610612747,LosAngeles,Lakers,West,25-27,10,-o,Pacific,9-7,4,37,45,0.451,0,37-45,22-19,15-26
2018-19,00,22018,1610612764,Washington,Wizards,East,19-33,11,-o,Southeast,7-9,4,32,50,0.39,0,32-50,22-19,10-31
2018-19,00,22018,1610612750,Minnesota,Timberwolves,West,22-30,11,-o,Northwest,5-11,5,36,46,0.439,0,36-46,25-16,11-30
2018-19,00,22018,1610612763,Memphis,Grizzlies,West,24-28,12,-o,Southwest,8-8,3,33,49,0.402,0,33-49,21-20,12-29
2018-19,00,22018,1610612737,Atlanta,Hawks,East,16-36,12,-o,Southeast,6-10,5,29,53,0.354,0,29-53,17-24,12-29
2018-19,00,22018,1610612741,Chicago,Bulls,East,16-36,13,-o,Central,3-13,4,22,60,0.268,0,22-60,9-32,13-28
2018-19,00,22018,1610612740,NewOrleans,Pelicans,West,23-29,13,-o,Southwest,8-8,4,33,49,0.402,0,33-49,19-22,14-27
2018-19,00,22018,1610612742,Dallas,Mavericks,West,18-34,14,-o,Southwest,4-12,5,33,49,0.402,0,33-49,24-17,9-32
2018-19,00,22018,1610612739,Cleveland,Cavaliers,East,15-37,14,-o,Central,4-12,5,19,63,0.232,0,19-63,13-28,6-35
2018-19,00,22018,1610612756,Phoenix,Suns,West,11-41,15,-o,Pacific,3-13,5,19,63,0.232,0,19-63,12-29,7-34
2018-19,00,22018,1610612752,NewYork,Knicks,East,11-41,15,-o,Atlantic,2-14,5,17,65,0.207,0,17-65,9-32,8-33
2019-20,00,22019,1610612747,LosAngeles,Lakers,West,36-10,1,-w,Pacific,10-3,1,52,19,0.732,0,52-19,25-10,27-9
2019-20,00,22019,1610612749,Milwaukee,Bucks,East,37-7,1,-e,Central,13-1,1,56,17,0.767,0,56-17,30-5,26-12
2019-20,00,22019,1610612761,Toronto,Raptors,East,34-11,2,-a,Atlantic,9-5,1,53,19,0.736,0,53-19,26-10,27-9
2019-20,00,22019,1610612746,LA,Clippers,West,32-16,2,-x,Pacific,8-6,2,49,23,0.681,0,49-23,27-9,22-14
2019-20,00,22019,1610612743,Denver,Nuggets,West,29-16,3,-nw,Northwest,12-2,1,46,27,0.63,0,46-27,26-11,20-16
2019-20,00,22019,1610612738,Boston,Celtics,East,30-13,3,-x,Atlantic,9-6,2,48,24,0.667,0,48-24,26-10,22-14
2019-20,00,22019,1610612745,Houston,Rockets,West,28-19,4,-sw,Southwest,8-5,1,44,28,0.611,0,44-28,24-12,20-16
2019-20,00,22019,1610612754,Indiana,Pacers,East,28-19,4,-x,Central,8-7,2,45,28,0.616,0,45-28,25-11,20-17
2019-20,00,22019,1610612760,OklahomaCity,Thunder,West,27-19,5,-x,Northwest,8-5,2,44,28,0.611,0,44-28,23-14,21-14
2019-20,00,22019,1610612748,Miami,Heat,East,30-13,5,-se,Southeast,10-4,1,44,29,0.603,0,44-29,29-7,15-22
2019-20,00,22019,1610612762,Utah,Jazz,West,24-21,6,-x,Northwest,5-7,3,44,28,0.611,0,44-28,23-12,21-16
2019-20,00,22019,1610612755,Philadelphia,76ers,East,28-18,6,-x,Atlantic,11-5,3,43,30,0.589,0,43-30,31-4,12-26
2019-20,00,22019,1610612751,Brooklyn,Nets,East,23-23,7,-x,Atlantic,6-10,4,35,37,0.486,0,35-37,20-16,15-21
2019-20,00,22019,1610612742,Dallas,Mavericks,West,27-20,7,-x,Southwest,10-4,2,43,32,0.573,0,43-32,20-18,23-14
2019-20,00,22019,1610612757,Portland,TrailBlazers,West,20-27,8,-x,Northwest,5-8,4,35,39,0.473,0,35-39,21-15,14-24
2019-20,00,22019,1610612753,Orlando,Magic,East,20-23,8,-x,Southeast,9-5,2,33,40,0.452,0,33-40,18-17,15-23
2019-20,00,22019,1610612763,Memphis,Grizzlies,West,20-26,9,,Southwest,4-9,3,34,39,0.466,0,34-39,20-17,14-22
2019-20,00,22019,1610612764,Washington,Wizards,East,18-27,9,-o,Southeast,5-9,3,25,47,0.347,0,25-47,16-20,9-27
2019-20,00,22019,1610612766,Charlotte,Hornets,East,16-24,10,-o,Southeast,2-7,4,23,42,0.354,0,23-42,10-21,13-21
2019-20,00,22019,1610612756,Phoenix,Suns,West,19-27,10,-o,Pacific,6-9,3,34,39,0.466,0,34-39,17-22,17-17
2019-20,00,22019,1610612741,Chicago,Bulls,East,15-28,11,-o,Central,7-9,3,22,43,0.338,0,22-43,14-20,8-23
2019-20,00,22019,1610612759,SanAntonio,Spurs,West,20-23,11,-o,Southwest,7-6,4,32,39,0.451,0,32-39,19-15,13-24
2019-20,00,22019,1610612758,Sacramento,Kings,West,23-23,12,-o,Pacific,8-5,4,31,41,0.431,0,31-41,16-19,15-22
2019-20,00,22019,1610612752,NewYork,Knicks,East,15-28,12,-o,Atlantic,2-11,5,21,45,0.318,0,21-45,11-22,10-23
2019-20,00,22019,1610612765,Detroit,Pistons,East,12-31,13,-o,Central,5-10,4,20,46,0.303,0,20-46,11-22,9-24
2019-20,00,22019,1610612740,NewOrleans,Pelicans,West,18-30,13,-o,Southwest,4-9,5,30,42,0.417,0,30-42,15-21,15-21
2019-20,00,22019,1610612750,Minnesota,Timberwolves,West,9-30,14,-o,Northwest,2-10,5,19,45,0.297,0,19-45,8-24,11-21
2019-20,00,22019,1610612737,Atlanta,Hawks,East,11-32,14,-o,Southeast,6-7,5,20,47,0.299,0,20-47,14-20,6-27
2019-20,00,22019,1610612744,GoldenState,Warriors,West,9-34,15,-o,Pacific,2-11,5,15,50,0.231,0,15-50,8-26,7-24
2019-20,00,22019,1610612739,Cleveland,Cavaliers,East,12-32,15,-o,Central,4-10,5,19,46,0.292,0,19-46,11-25,8-21
2020-21,00,22020,1610612755,Philadelphia,76ers,East,31-11,1,-e,Atlantic,10-2,1,49,23,0.681,0,49-23,29-7,20-16
2020-21,00,22020,1610612762,Utah,Jazz,West,28-14,1,-w,Northwest,7-5,1,52,20,0.722,0,52-20,31-5,21-15
2020-21,00,22020,1610612751,Brooklyn,Nets,East,26-16,2,-x,Atlantic,8-4,2,48,24,0.667,0,48-24,28-8,20-16
2020-21,00,22020,1610612756,Phoenix,Suns,West,30-12,2,-p,Pacific,7-5,1,51,21,0.708,0,51-21,27-9,24-12
2020-21,00,22020,1610612743,Denver,Nuggets,West,26-16,3,-x,Northwest,9-3,2,47,25,0.653,0,47-25,25-11,22-14
2020-21,00,22020,1610612749,Milwaukee,Bucks,East,30-12,3,-c,Central,11-1,1,46,26,0.639,0,46-26,26-10,20-16
2020-21,00,22020,1610612746,LA,Clippers,West,27-15,4,-x,Pacific,9-3,2,47,25,0.653,0,47-25,26-10,21-15
2020-21,00,22020,1610612752,NewYork,Knicks,East,25-17,4,-x,Atlantic,4-8,3,41,31,0.569,0,41-31,25-11,16-20
2020-21,00,22020,1610612742,Dallas,Mavericks,West,21-21,5,-sw,Southwest,7-5,1,42,30,0.583,0,42-30,21-15,21-15
2020-21,00,22020,1610612737,Atlanta,Hawks,East,24-18,5,-se,Southeast,9-3,1,41,31,0.569,0,41-31,25-11,16-20
2020-21,00,22020,1610612757,Portland,TrailBlazers,West,23-19,6,-x,Northwest,6-6,3,42,30,0.583,0,42-30,20-16,22-14
2020-21,00,22020,1610612748,Miami,Heat,East,24-18,6,-x,Southeast,6-6,2,40,32,0.556,0,40-32,21-15,19-17
2020-21,00,22020,1610612738,Boston,Celtics,East,20-22,7,-x,Atlantic,4-8,4,36,36,0.5,0,36-36,21-15,15-21
2020-21,00,22020,1610612747,LosAngeles,Lakers,West,25-17,7,-x,Pacific,4-8,3,42,30,0.583,0,42-30,21-15,21-15
2020-21,00,22020,1610612763,Memphis,Grizzlies,West,19-23,8,-x,Southwest,6-6,2,38,34,0.528,0,38-34,18-18,20-16
2020-21,00,22020,1610612764,Washington,Wizards,East,16-26,8,-x,Southeast,3-9,3,34,38,0.472,0,34-38,19-17,15-21
2020-21,00,22020,1610612754,Indiana,Pacers,East,20-22,9,,Central,7-5,2,34,38,0.472,0,34-38,13-23,21-15
2020-21,00,22020,1610612744,GoldenState,Warriors,West,25-17,9,,Pacific,5-7,4,39,33,0.542,0,39-33,25-11,14-22
2020-21,00,22020,1610612759,SanAntonio,Spurs,West,17-25,10,,Southwest,6-6,3,33,39,0.458,0,33-39,14-22,19-17
2020-21,00,22020,1610612766,Charlotte,Hornets,East,20-22,10,,Southeast,8-4,4,33,39,0.458,0,33-39,18-18,15-21
2020-21,00,22020,1610612740,NewOrleans,Pelicans,West,18-24,11,-o,Southwest,6-6,4,31,41,0.431,0,31-41,18-18,13-23
2020-21,00,22020,1610612741,Chicago,Bulls,East,21-21,11,-o,Central,7-5,3,31,41,0.431,0,31-41,15-21,16-20
2020-21,00,22020,1610612761,Toronto,Raptors,East,17-25,12,-o,Atlantic,4-8,5,27,45,0.375,0,27-45,16-20,11-25
2020-21,00,22020,1610612758,Sacramento,Kings,West,18-24,12,-o,Pacific,5-7,5,31,41,0.431,0,31-41,16-20,15-21
2020-21,00,22020,1610612750,Minnesota,Timberwolves,West,15-27,13,-o,Northwest,5-7,4,23,49,0.319,0,23-49,13-23,10-26
2020-21,00,22020,1610612739,Cleveland,Cavaliers,East,16-26,13,-o,Central,4-8,4,22,50,0.306,0,22-50,13-23,9-27
2020-21,00,22020,1610612760,OklahomaCity,Thunder,West,12-30,14,-o,Northwest,3-9,5,22,50,0.306,0,22-50,10-26,12-24
2020-21,00,22020,1610612753,Orlando,Magic,East,13-29,14,-o,Southeast,4-8,5,21,51,0.292,0,21-51,11-25,10-26
2020-21,00,22020,1610612765,Detroit,Pistons,East,12-30,15,-o,Central,1-11,5,20,52,0.278,0,20-52,13-23,7-29
2020-21,00,22020,1610612745,Houston,Rockets,West,11-31,15,-o,Southwest,5-7,5,17,55,0.236,0,17-55,9-27,8-28
2021-22,00,22021,1610612751,Brooklyn,Nets,East,13-5,1,,Atlantic,4-0,1,17,7,0.708,0,17-7,8-5,9-2
2021-22,00,22021,1610612744,GoldenState,Warriors,West,11-3,1,,Pacific,5-1,1,20,4,0.833,0,20-4,13-2,7-2
2021-22,00,22021,1610612756,Phoenix,Suns,West,14-4,2,,Pacific,3-2,2,20,4,0.833,0,20-4,11-2,9-2
2021-22,00,22021,1610612741,Chicago,Bulls,East,10-5,2,,Central,2-1,1,17,8,0.68,0,17-8,8-4,9-4
2021-22,00,22021,1610612762,Utah,Jazz,West,9-2,3,,Northwest,4-0,1,16,7,0.696,0,16-7,9-4,7-3
2021-22,00,22021,1610612749,Milwaukee,Bucks,East,12-6,3,,Central,5-0,2,16,9,0.64,0,16-9,9-4,7-5
2021-22,00,22021,1610612748,Miami,Heat,East,8-5,4,,Southeast,3-1,1,14,11,0.56,0,14-11,6-4,8-7
2021-22,00,22021,1610612763,Memphis,Grizzlies,West,11-5,4,,Southwest,2-1,1,14,10,0.583,0,14-10,8-5,6-5
2021-22,00,22021,1610612746,LA,Clippers,West,10-10,5,,Pacific,1-4,3,13,12,0.52,0,13-12,9-7,4-5
2021-22,00,22021,1610612764,Washington,Wizards,East,9-9,5,,Southeast,3-4,2,14,11,0.56,0,14-11,8-3,6-8
2021-22,00,22021,1610612747,LosAngeles,Lakers,West,6-8,6,,Pacific,1-4,4,13,12,0.52,0,13-12,9-7,4-5
2021-22,00,22021,1610612755,Philadelphia,76ers,East,8-7,6,,Atlantic,0-5,2,13,11,0.542,0,13-11,5-5,8-6
2021-22,00,22021,1610612742,Dallas,Mavericks,West,9-6,7,,Southwest,6-2,2,11,12,0.478,0,11-12,6-6,5-6
2021-22,00,22021,1610612766,Charlotte,Hornets,East,10-7,7,,Southeast,5-2,3,14,12,0.538,0,14-12,7-3,7-9
2021-22,00,22021,1610612739,Cleveland,Cavaliers,East,9-6,8,,Central,1-1,3,13,12,0.52,0,13-12,5-7,8-5
2021-22,00,22021,1610612743,Denver,Nuggets,West,6-6,8,,Northwest,2-2,2,11,12,0.478,0,11-12,7-4,4-8
2021-22,00,22021,1610612737,Atlanta,Hawks,East,7-7,9,,Southeast,3-2,4,13,12,0.52,0,13-12,8-4,5-8
2021-22,00,22021,1610612750,Minnesota,Timberwolves,West,7-8,9,,Northwest,0-1,3,11,13,0.458,0,11-13,7-7,4-6
2021-22,00,22021,1610612757,Portland,TrailBlazers,West,6-10,10,,Northwest,1-2,4,11,14,0.44,0,11-14,10-4,1-10
2021-22,00,22021,1610612738,Boston,Celtics,East,8-8,10,,Atlantic,3-3,3,13,12,0.52,0,13-12,6-4,7-8
2021-22,00,22021,1610612752,NewYork,Knicks,East,8-10,11,,Atlantic,3-2,4,12,12,0.5,0,12-12,5-8,7-4
2021-22,00,22021,1610612758,Sacramento,Kings,West,8-11,11,,Pacific,4-3,5,10,14,0.417,0,10-14,4-8,6-6
2021-22,00,22021,1610612759,SanAntonio,Spurs,West,3-11,12,,Southwest,0-3,3,8,15,0.348,0,8-15,4-7,4-8
2021-22,00,22021,1610612761,Toronto,Raptors,East,9-8,12,,Atlantic,3-3,5,11,13,0.458,0,11-13,4-8,7-5
2021-22,00,22021,1610612754,Indiana,Pacers,East,6-12,13,,Central,1-3,4,10,16,0.385,0,10-16,7-6,3-10
2021-22,00,22021,1610612745,Houston,Rockets,West,4-12,13,,Southwest,1-2,4,7,16,0.304,0,7-16,6-5,1-11
2021-22,00,22021,1610612760,OklahomaCity,Thunder,West,6-9,14,,Northwest,0-2,5,7,16,0.304,0,7-16,4-7,3-9
2021-22,00,22021,1610612753,Orlando,Magic,East,2-16,14,,Southeast,0-5,5,5,20,0.2,0,5-20,2-8,3-12
2021-22,00,22021,1610612740,NewOrleans,Pelicans,West,6-11,15,,Southwest,2-3,5,7,19,0.269,0,7-19,3-8,4-11
2021-22,00,22021,1610612765,Detroit,Pistons,East,3-11,15,,Central,1-5,5,4,19,0.174,0,4-19,2-9,2-10
